"","PC","ATE","SE","noise_type","noise_params","solution","data"
"144",44,3.69396278295701,0.0518613572253285,"None","None","2 4 b2","sim1 5000"
"145",45,3.66699186624057,0.0518994953074115,"None","None","2 4 b2","sim1 5000"
"146",46,3.58769830476252,0.0519982125670023,"None","None","2 4 b2","sim1 5000"
"147",47,3.55770854610174,0.0526255328276743,"None","None","2 4 b2","sim1 5000"
"148",48,3.47405626565704,0.0527812288897499,"None","None","2 4 b2","sim1 5000"
"149",49,3.43517544068033,0.0532625402002323,"None","None","2 4 b2","sim1 5000"
"150",50,3.42548421957578,0.053023874842169,"None","None","2 4 b2","sim1 5000"
"151",51,3.30502815351617,0.0525360009705558,"None","None","2 4 b2","sim1 5000"
"152",52,3.14876710084669,0.0523694571936278,"None","None","2 4 b2","sim1 5000"
"153",53,3.07877443194205,0.0518045456734242,"None","None","2 4 b2","sim1 5000"
"154",54,2.94785481191261,0.0523325451455841,"None","None","2 4 b2","sim1 5000"
"155",55,2.84162107210681,0.051626144771601,"None","None","2 4 b2","sim1 5000"
"156",56,2.80054912377284,0.0516239399600923,"None","None","2 4 b2","sim1 5000"
"157",57,2.71775585094783,0.0514150214403083,"None","None","2 4 b2","sim1 5000"
"158",58,2.68805054810594,0.0510762234619158,"None","None","2 4 b2","sim1 5000"
"159",59,2.6012284901961,0.0509585505992173,"None","None","2 4 b2","sim1 5000"
"160",60,2.5663614743488,0.0509849382321585,"None","None","2 4 b2","sim1 5000"
"161",61,2.55534906684859,0.0507184622882919,"None","None","2 4 b2","sim1 5000"
"162",62,2.51760048545847,0.0510469751012902,"None","None","2 4 b2","sim1 5000"
"163",63,2.46825243168712,0.0510179821831569,"None","None","2 4 b2","sim1 5000"
"164",64,2.43697999927987,0.0510276959650224,"None","None","2 4 b2","sim1 5000"
"165",65,2.43043045111331,0.0512510900754915,"None","None","2 4 b2","sim1 5000"
"166",66,2.3901792058211,0.0508896527124704,"None","None","2 4 b2","sim1 5000"
"167",67,2.35580583159467,0.0508590532645482,"None","None","2 4 b2","sim1 5000"
"168",68,2.32531205722806,0.0511674822040774,"None","None","2 4 b2","sim1 5000"
"169",69,2.32258122475647,0.0506243855005404,"None","None","2 4 b2","sim1 5000"
"170",70,2.30115855008402,0.0510023092355816,"None","None","2 4 b2","sim1 5000"
"171",71,2.29604526167956,0.0508839738317397,"None","None","2 4 b2","sim1 5000"
"172",72,2.26733076481673,0.0508312780913725,"None","None","2 4 b2","sim1 5000"
"173",73,2.24157489118246,0.0504316953626963,"None","None","2 4 b2","sim1 5000"
"174",74,2.19872495664776,0.050265882143141,"None","None","2 4 b2","sim1 5000"
"175",75,2.19704322408029,0.050524024956392,"None","None","2 4 b2","sim1 5000"
"176",76,2.20316971707813,0.0505976729759235,"None","None","2 4 b2","sim1 5000"
"177",77,2.19870999516901,0.0505459056324615,"None","None","2 4 b2","sim1 5000"
